Emission_ID,Source,Gas_Type,Emission_Quantity (kg),Latitude,Longitude,Date,Neighborhood_Name,Emission_Category,Temperature (°C),Emission_Control,Gas_Type_Encoded,Year,Month,Day,Weekday,Emission_Severity
1,Industrial,CH4,437.0,41.920870768694925,-88.21991808027794,2024-01-02,Vincentchester,High,22.95638331779636,No,0,2024,1,2,1,High
2,Transportation,CO2,158.0,36.4950354861098,-104.73017772556372,2024-03-03,New Sara,Low,25.81046491283915,No,1,2024,3,3,6,Low
3,Industrial,CO2,37.0,36.71977491034598,-109.71468890364731,2024-02-27,Cooperborough,High,29.44229579364256,Yes,1,2024,2,27,1,Low
4,Industrial,N2O,497.0,34.63151522357244,-104.63565796609562,2024-02-19,Port Stephanieville,High,28.118131069457785,Yes,2,2024,2,19,0,High
5,Transportation,CO2,319.0,37.5423850923499,-113.9072339924423,2024-02-27,Dylanview,Medium,27.4183271372866,Yes,1,2024,2,27,1,High
6,Transportation,N2O,447.0,36.08838820987879,-111.66980948089348,2024-01-26,Normantown,Medium,27.369963117270224,Yes,2,2024,1,26,4,High
7,Industrial,N2O,74.0,36.74709361742116,-113.39494062475482,2023-11-28,Johnmouth,Medium,21.780203242922703,No,2,2023,11,28,1,Low
8,Residential,CH4,365.0,40.67657432204502,-99.39048407537146,2024-01-13,Perrychester,Low,28.246812392279367,No,0,2024,1,13,5,High
9,Industrial,CH4,30.0,41.48387610821997,-82.9945514446662,2024-03-20,North Walter,Low,22.761186324434583,Yes,0,2024,3,20,2,Low
10,Industrial,CH4,261.0,35.485864576041486,-111.77912361448104,2024-01-14,East Alexishaven,Low,29.303666579015296,No,0,2024,1,14,6,High
11,Industrial,N2O,244.0,36.98007145242773,-112.26590094041724,2023-12-31,Williamland,High,23.64639991013783,Yes,2,2023,12,31,6,Low
12,Industrial,CH4,236.0,41.429044496923154,-89.68912622123744,2024-05-28,Elizabethstad,Medium,28.576603970422564,Yes,0,2024,5,28,1,Low
13,Transportation,CO2,22.0,34.49446768551378,-109.32394879340508,2024-03-11,Allenville,High,22.662334945178014,Yes,1,2024,3,11,0,Low
14,Industrial,CO2,322.0,34.73888422489103,-113.70515832320436,2024-01-09,Scotthaven,Low,25.145269365822404,No,1,2024,1,9,1,High
15,Residential,N2O,58.0,35.30232791364983,-110.6586625589546,2023-09-30,Michaelside,Medium,21.068852954890605,No,2,2023,9,30,5,Low
16,Transportation,N2O,127.0,38.761702673015,-77.35581858142186,2023-11-16,Lewisside,Low,26.60118902996174,Yes,2,2023,11,16,3,Low
17,Residential,CH4,63.0,35.20377816804798,-81.8552648778476,2024-04-14,Sanfordfurt,Medium,28.360792751668384,Yes,0,2024,4,14,6,Low
18,Residential,N2O,147.0,41.744611051605865,-102.42115925637586,2024-07-06,Webbborough,Medium,27.18447281302416,Yes,2,2024,7,6,5,Low
19,Residential,N2O,62.0,37.57371621806816,-89.14388623759471,2023-12-17,Yolandamouth,High,25.23258512938657,Yes,2,2023,12,17,6,Low
20,Residential,CO2,53.0,38.01214368280133,-94.35987035860632,2023-11-08,Jacksonfort,High,20.451158786014595,No,1,2023,11,8,2,Low
21,Transportation,CO2,312.0,35.973268926443254,-88.2065324067672,2024-08-06,South Samuel,Low,29.334410071708582,No,1,2024,8,6,1,High
22,Transportation,CH4,62.0,37.76768201947787,-87.9624692916386,2024-08-05,West Noah,High,27.054895485786343,Yes,0,2024,8,5,0,Low
23,Residential,N2O,83.0,39.29530906109609,-90.33570333736031,2023-12-14,Martinezstad,High,27.45864238365333,Yes,2,2023,12,14,3,Low
24,Residential,N2O,55.0,40.00941709563234,-106.29153978435842,2024-04-24,New Christina,High,27.946805755108077,No,2,2024,4,24,2,Low
25,Transportation,CO2,22.0,40.03094466167931,-116.283717486436,2023-12-28,Michaelchester,Medium,27.47743425927611,Yes,1,2023,12,28,3,Low
26,Transportation,N2O,174.0,38.623128901552704,-97.9550615924352,2023-10-19,Kathleenberg,High,24.411161640983337,No,2,2023,10,19,3,Low
27,Transportation,CO2,111.0,41.234878199950856,-78.79714907360903,2024-01-21,Port Alejandro,Low,27.33621829287947,No,1,2024,1,21,6,Low
28,Industrial,CH4,289.0,40.53926277844887,-92.94212062518268,2023-12-17,Normanberg,Medium,26.25026787810329,Yes,0,2023,12,17,6,High
29,Industrial,CO2,267.0,40.056384917589,-81.37479416511604,2024-04-14,Duncanmouth,Medium,28.540163336687865,No,1,2024,4,14,6,High
30,Industrial,N2O,479.0,34.444844173443684,-74.36852890970596,2024-07-30,Gonzalezside,High,28.024598153373702,No,2,2024,7,30,1,High
31,Residential,CH4,346.0,34.05502369775719,-110.80088701791584,2024-01-28,Stephenfort,Medium,20.4137438246726,No,0,2024,1,28,6,High
32,Industrial,CO2,365.0,35.69957821756378,-87.56178387775277,2024-03-03,Jeffreyfurt,Low,23.788870903326053,No,1,2024,3,3,6,High
33,Residential,CO2,407.0,39.30818875130762,-88.33108275719891,2023-09-24,Carolynport,Low,20.347161521838945,Yes,1,2023,9,24,6,High
34,Residential,CH4,147.0,37.289579911060365,-74.88196031623575,2024-06-06,South Edwin,Medium,21.02074924766098,No,0,2024,6,6,3,Low
35,Industrial,CH4,172.0,37.219250074394495,-74.63356770607678,2023-10-30,West Dennis,High,26.014107220036117,No,0,2023,10,30,0,Low
36,Residential,CO2,418.0,41.07669510583691,-87.78614108413831,2024-05-10,Davisburgh,High,28.73821821162253,No,1,2024,5,10,4,High
37,Industrial,N2O,396.0,41.16450278505471,-107.28094915278344,2024-06-02,West Davidport,Medium,21.198247587092677,Yes,2,2024,6,2,6,High
38,Industrial,CO2,120.0,41.27340211242869,-82.86354312225365,2024-07-28,Dawnport,Low,24.510892874668315,Yes,1,2024,7,28,6,Low
39,Transportation,CH4,111.0,36.51102461212022,-113.29071809471432,2024-03-04,Lewisport,Medium,29.10878904806444,Yes,0,2024,3,4,0,Low
40,Industrial,CO2,26.0,39.5284465019141,-83.64923061644834,2024-08-12,West Kelli,High,28.14300983671588,No,1,2024,8,12,0,Low
41,Transportation,CH4,277.0,36.17306545019496,-77.95137053763335,2024-01-01,East Donaldchester,High,25.1966789646593,Yes,0,2024,1,1,0,High
42,Industrial,CH4,191.0,35.5248786645956,-101.15533063018884,2023-10-27,Patrickshire,Medium,27.71571439328831,Yes,0,2023,10,27,4,Low
43,Industrial,N2O,381.0,35.47705965877896,-90.25204702074446,2024-06-12,Kleinhaven,Low,25.22693774044537,Yes,2,2024,6,12,2,High
44,Transportation,CH4,33.0,36.73686096690875,-99.07371978773963,2024-03-15,New Elizabeth,Medium,21.580923372828487,No,0,2024,3,15,4,Low
45,Transportation,CH4,38.0,37.439660958238576,-98.73833758052234,2024-02-05,Millerport,Low,21.247361132216792,Yes,0,2024,2,5,0,Low
46,Industrial,N2O,180.0,40.64759336844055,-104.34368087924273,2024-04-25,Taylorfort,Low,21.883682320670697,Yes,2,2024,4,25,3,Low
47,Residential,CH4,418.0,34.9591287477817,-84.46629670018572,2024-01-07,New Erica,Medium,23.509220949656797,Yes,0,2024,1,7,6,High
48,Transportation,N2O,237.0,39.879406779159154,-76.80823117667377,2024-09-06,South Joanna,Medium,29.305292676740187,No,2,2024,9,6,4,Low
49,Residential,N2O,387.0,38.251639313514445,-76.60696219368371,2023-09-29,Nancyside,Low,27.99678413653601,No,2,2023,9,29,4,High
50,Residential,CH4,197.0,36.30356274140794,-110.30962346550292,2024-08-14,Deanburgh,Low,24.328015612263176,Yes,0,2024,8,14,2,Low
51,Residential,CH4,355.0,37.9425566762626,-79.51127941511109,2024-04-20,Chasestad,Low,24.93076709787574,Yes,0,2024,4,20,5,High
52,Transportation,CO2,239.0,36.39953655821618,-85.55301657720662,2024-05-06,Carlachester,Low,22.65609457666415,Yes,1,2024,5,6,0,Low
53,Residential,N2O,330.0,38.76865564190645,-106.87515436962728,2024-03-08,Port Richardbury,High,27.0435295647213,No,2,2024,3,8,4,High
54,Transportation,CO2,349.0,37.470751382841954,-115.03947703145336,2024-07-28,Bakerfurt,Medium,28.02765671462038,No,1,2024,7,28,6,High
