Emission_ID,Source,Gas_Type,Emission_Quantity (kg),Latitude,Longitude,Date,Neighborhood_Name,Emission_Category,Temperature (°C),Emission_Control
1,Industrial,CH4,437,41.920870768694925,-88.21991808027794,2024-01-02,Vincentchester,High,22.956383317796362,No
2,Transportation,CO2,158,36.4950354861098,-104.73017772556373,2024-03-03,New Sara,Low,25.81046491283915,No
3,Industrial,CO2,37,36.71977491034598,-109.71468890364731,2024-02-27,Cooperborough,High,29.44229579364256,Yes
4,Industrial,N2O,497,34.63151522357244,-104.63565796609562,2024-02-19,Port Stephanieville,High,28.118131069457785,Yes
5,Transportation,CO2,319,37.5423850923499,-113.9072339924423,2024-02-27,Dylanview,Medium,27.418327137286596,Yes
6,Transportation,N2O,447,36.08838820987879,-111.66980948089349,2024-01-26,Normantown,Medium,27.369963117270224,Yes
7,Industrial,N2O,74,36.74709361742116,-113.39494062475482,2023-11-28,Johnmouth,Medium,21.780203242922703,No
8,Residential,CH4,365,40.67657432204502,-99.39048407537146,2024-01-13,Perrychester,Low,28.246812392279367,No
9,Industrial,CH4,30,41.48387610821997,-82.9945514446662,2024-03-20,North Walter,Low,22.761186324434583,Yes
10,Industrial,CH4,261,35.485864576041486,-111.77912361448104,2024-01-14,East Alexishaven,Low,29.303666579015296,No
11,Industrial,N2O,244,36.98007145242773,-112.26590094041723,2023-12-31,Williamland,High,23.64639991013783,Yes
12,Industrial,CH4,236,41.429044496923154,-89.68912622123744,2024-05-28,Elizabethstad,Medium,28.576603970422564,Yes
13,Transportation,CO2,22,34.49446768551378,-109.32394879340508,2024-03-11,Allenville,High,22.662334945178014,Yes
14,Industrial,CO2,322,34.73888422489103,-113.70515832320437,2024-01-09,Scotthaven,Low,25.145269365822404,No
15,Residential,N2O,58,35.30232791364983,-110.65866255895459,2023-09-30,Michaelside,Medium,21.068852954890605,No
16,Transportation,N2O,127,38.761702673014995,-77.35581858142186,2023-11-16,Lewisside,Low,26.60118902996174,Yes
17,Residential,CH4,63,35.20377816804798,-81.8552648778476,2024-04-14,Sanfordfurt,Medium,28.360792751668384,Yes
18,Residential,N2O,147,41.744611051605865,-102.42115925637586,2024-07-06,Webbborough,Medium,27.18447281302416,Yes
19,Residential,N2O,62,37.573716218068164,-89.14388623759471,2023-12-17,Yolandamouth,High,25.23258512938657,Yes
20,Residential,CO2,53,38.01214368280133,-94.35987035860633,2023-11-08,Jacksonfort,High,20.451158786014595,No
21,Transportation,CO2,312,35.973268926443254,-88.2065324067672,2024-08-06,South Samuel,Low,29.334410071708582,No
22,Transportation,CH4,62,37.76768201947787,-87.9624692916386,2024-08-05,West Noah,High,27.054895485786346,Yes
23,Residential,N2O,83,39.29530906109609,-90.33570333736031,2023-12-14,Martinezstad,High,27.45864238365333,Yes
24,Residential,N2O,55,40.009417095632344,-106.29153978435842,2024-04-24,New Christina,High,27.946805755108073,No
25,Transportation,CO2,22,40.03094466167931,-116.283717486436,2023-12-28,Michaelchester,Medium,27.47743425927611,Yes
26,Transportation,N2O,174,38.623128901552704,-97.95506159243521,2023-10-19,Kathleenberg,High,24.411161640983337,No
27,Transportation,CO2,111,41.234878199950856,-78.79714907360903,2024-01-21,Port Alejandro,Low,27.33621829287947,No
28,Industrial,CH4,289,40.53926277844887,-92.94212062518267,2023-12-17,Normanberg,Medium,26.25026787810329,Yes
29,Industrial,CO2,267,40.056384917589,-81.37479416511604,2024-04-14,Duncanmouth,Medium,28.540163336687865,No
30,Industrial,N2O,479,34.444844173443684,-74.36852890970596,2024-07-30,Gonzalezside,High,28.024598153373702,No
